Loading weights:   0%|          | 0/750 [00:00<?, ?it/s]Loading weights:   0%|          | 2/750 [00:00<00:38, 19.36it/s]Loading weights:   5%|▍         | 34/750 [00:00<00:03, 187.09it/s]Loading weights:   9%|▊         | 65/750 [00:00<00:02, 239.62it/s]Loading weights:  12%|█▏        | 93/750 [00:00<00:02, 254.59it/s]Loading weights:  17%|█▋        | 125/750 [00:00<00:02, 273.88it/s]Loading weights:  20%|██        | 153/750 [00:00<00:02, 271.96it/s]Loading weights:  24%|██▍       | 182/750 [00:00<00:02, 276.81it/s]Loading weights:  29%|██▊       | 215/750 [00:00<00:01, 284.60it/s]Loading weights:  33%|███▎      | 248/750 [00:00<00:01, 291.58it/s]Loading weights:  37%|███▋      | 280/750 [00:01<00:01, 298.26it/s]Loading weights:  41%|████▏     | 310/750 [00:01<00:01, 292.73it/s]Loading weights:  46%|████▌     | 345/750 [00:01<00:01, 301.62it/s]Loading weights:  50%|█████     | 376/750 [00:01<00:01, 301.80it/s]Loading weights:  62%|██████▏   | 463/750 [00:01<00:00, 465.17it/s]Loading weights:  86%|████████▋ | 647/750 [00:01<00:00, 867.78it/s]Loading weights: 100%|██████████| 750/750 [00:01<00:00, 452.99it/s]
loaded Qwen/Qwen3-VL-8B-Instruct on cuda:0
frame plan: 1076 distinct frames across 17 segments (vs decoding every frame of each segment, which held 8.2 GB)
  tm_glass_a     [retail_shelf] spans   6-  6 ->  1 captions  (input_tokens=2288, output_tokens=60, n_images=4)
  tm_glass_a     [retail_shelf] spans   7-  7 ->  1 captions  (input_tokens=2297, output_tokens=60, n_images=4)
  tm_glass_a     [retail_shelf] spans   8-  8 ->  1 captions  (input_tokens=2295, output_tokens=62, n_images=4)
  tm_glass_a     [retail_shelf] spans   9-  9 ->  1 captions  (input_tokens=2288, output_tokens=63, n_images=4)
  tm_glass_b     [retail_shelf] spans   0-  0 ->  1 captions  (input_tokens=2149, output_tokens=62, n_images=4)
  tm_glass_b     [retail_shelf] spans   1-  1 ->  1 captions  (input_tokens=2198, output_tokens=66, n_images=4)
  tm_glass_b     [retail_shelf] spans   2-  2 ->  1 captions  (input_tokens=2244, output_tokens=62, n_images=4)
  tm_glass_b     [retail_shelf] spans   3-  3 ->  1 captions  (input_tokens=2264, output_tokens=61, n_images=4)
  tm_glass_b     [retail_shelf] spans   4-  4 ->  1 captions  (input_tokens=2307, output_tokens=59, n_images=4)
  tm_glass_b     [retail_shelf] spans   5-  5 ->  1 captions  (input_tokens=2302, output_tokens=59, n_images=4)
  tm_glass_b     [retail_shelf] spans   6-  6 ->  1 captions  (input_tokens=2286, output_tokens=60, n_images=4)
  tm_glass_b     [retail_shelf] spans   7-  7 ->  1 captions  (input_tokens=2285, output_tokens=60, n_images=4)
  tm_glass_b     [retail_shelf] spans   8-  8 ->  1 captions  (input_tokens=2295, output_tokens=60, n_images=4)
  tm_glass_b     [retail_shelf] spans   9-  9 ->  1 captions  (input_tokens=2285, output_tokens=59, n_images=4)
  tm_glass_b     [retail_shelf] spans  10- 10 ->  1 captions  (input_tokens=2292, output_tokens=59, n_images=4)
  tm_conftable   [retail_shelf] spans   0-  0 ->  1 captions  (input_tokens=2141, output_tokens=63, n_images=4)
  tm_conftable   [retail_shelf] spans   1-  1 ->  1 captions  (input_tokens=2197, output_tokens=63, n_images=4)
  tm_conftable   [retail_shelf] spans   2-  2 ->  1 captions  (input_tokens=2230, output_tokens=63, n_images=4)
  tm_conftable   [retail_shelf] spans   3-  3 ->  1 captions  (input_tokens=2263, output_tokens=63, n_images=4)
  tm_conftable   [retail_shelf] spans   4-  4 ->  1 captions  (input_tokens=2296, output_tokens=63, n_images=4)
  tm_conftable   [retail_shelf] spans   5-  5 ->  1 captions  (input_tokens=2296, output_tokens=63, n_images=4)
  tm_conftable   [retail_shelf] spans   6-  6 ->  1 captions  (input_tokens=2296, output_tokens=63, n_images=4)
  tm_conftable   [retail_shelf] spans   7-  7 ->  1 captions  (input_tokens=2296, output_tokens=63, n_images=4)
  tm_conftable   [retail_shelf] spans   8-  8 ->  1 captions  (input_tokens=2296, output_tokens=63, n_images=4)
  tm_conftable   [retail_shelf] spans   9-  9 ->  1 captions  (input_tokens=2296, output_tokens=63, n_images=4)
  tm_conftable   [retail_shelf] spans  10- 10 ->  1 captions  (input_tokens=2298, output_tokens=63, n_images=4)
  tm_conftable   [retail_shelf] spans  11- 11 ->  1 captions  (input_tokens=2305, output_tokens=61, n_images=4)
  tm_conftable   [retail_shelf] spans  12- 12 ->  1 captions  (input_tokens=2303, output_tokens=61, n_images=4)
  tm_conftable   [retail_shelf] spans  13- 13 ->  1 captions  (input_tokens=2297, output_tokens=61, n_images=4)
  tm_conftable   [retail_shelf] spans  14- 14 ->  1 captions  (input_tokens=2295, output_tokens=61, n_images=4)
  tm_conftable   [retail_shelf] spans  15- 15 ->  1 captions  (input_tokens=2293, output_tokens=61, n_images=4)
  tm_conftable   [retail_shelf] spans  16- 16 ->  1 captions  (input_tokens=2290, output_tokens=63, n_images=4)
  tm_conftable   [retail_shelf] spans  17- 17 ->  1 captions  (input_tokens=2290, output_tokens=63, n_images=4)
  tm_keyboard    [retail_shelf] spans   0-  0 ->  1 captions  (input_tokens=2138, output_tokens=62, n_images=4)
  tm_keyboard    [retail_shelf] spans   1-  1 ->  1 captions  (input_tokens=2198, output_tokens=63, n_images=4)
  tm_keyboard    [retail_shelf] spans   2-  2 ->  1 captions  (input_tokens=2237, output_tokens=63, n_images=4)
  tm_keyboard    [retail_shelf] spans   3-  3 ->  1 captions  (input_tokens=2268, output_tokens=63, n_images=4)
  tm_keyboard    [retail_shelf] spans   4-  4 ->  1 captions  (input_tokens=2301, output_tokens=63, n_images=4)
  tm_keyboard    [retail_shelf] spans   5-  5 ->  1 captions  (input_tokens=2302, output_tokens=63, n_images=4)
  tm_keyboard    [retail_shelf] spans   6-  6 ->  1 captions  (input_tokens=2302, output_tokens=63, n_images=4)
  tm_keyboard    [retail_shelf] spans   7-  7 ->  1 captions  (input_tokens=2302, output_tokens=63, n_images=4)
  tm_keyboard    [retail_shelf] spans   8-  8 ->  1 captions  (input_tokens=2302, output_tokens=63, n_images=4)
  tm_keyboard    [retail_shelf] spans   9-  9 ->  1 captions  (input_tokens=2304, output_tokens=63, n_images=4)
  tm_keyboard    [retail_shelf] spans  10- 10 ->  1 captions  (input_tokens=2304, output_tokens=63, n_images=4)
  tm_keyboard    [retail_shelf] spans  11- 11 ->  1 captions  (input_tokens=2302, output_tokens=63, n_images=4)
  tm_keyboard    [retail_shelf] spans  12- 12 ->  1 captions  (input_tokens=2302, output_tokens=63, n_images=4)
  tm_keyboard    [retail_shelf] spans  13- 13 ->  1 captions  (input_tokens=2302, output_tokens=64, n_images=4)

269 captions from 269 spans in 450s
  throughput: 0.60 spans/s  |  1.3x realtime (564s video in 450s)
  frame store peak 2.5 MB (1076 JPEG frames; the old raw-frame cache held 8.2 GB)
  mean tokens/call: in 2278  out 62
  wrote artifacts/captions/captions_qwen.jsonl
